PublicationDate,PropertyNumber,County,LocalAuthority,Category,Uses,Address1,Address2,Address3,Address4,Address5,CarPark,ValuationReport__Level,ValuationReport__FloorUse,ValuationReport__Area,ValuationReport__NavPerM2,ValuationReport__Nav
17/09/2019,2164581,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (2ND GENERATION), -",13B/3 ABBEYLANDS,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),379.84,80,30387.2
,,,,,,,,,,,,1,OFFICE(S),235.15,80,18812
17/09/2019,654424,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",29&30 DUBLIN ROAD,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),104.28,120,12513.6
,,,,,,,,,,,,1,OFFICE(S),115.64,84,9713.76
,,,,,,,,,,,,-1,OFFICE(S),98.17,84,8246.28
17/09/2019,2176379,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -","52 ROSEBANK,  UNITS 3 & 4 (FLOOR 1) HERBERT TERRACE",BRAY,CO. WICKLOW,,,0,1,OFFICE(S),80.79,84,6786.36
,,,,,,,,,,,,0,CAR SPACES (NO. OF),4,150,600
17/09/2019,2161256,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",39C/3 (1) PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),87.9,84,7383.6
17/09/2019,631360,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2B CHURCH ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,1,OFFICE(S),58.36,90,5252.4
17/09/2019,631930,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 7/B,KINDLESTOWN LR GT,GREYSTONES,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),126.93,120,15231.6
17/09/2019,746419,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",52BC/UNIT 1 (FIRST FLOOR) MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),125.3,90,11277
,,,,,,,,,,,,1,ALLOWANCE,-1,2254,-2254
17/09/2019,746420,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",52BC/UNIT 2 (FIRST FLOOR) MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),91.74,90,8256.6
17/09/2019,746434,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",24H (SECOND FLOOR) FLORENCE TERRACE,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),52,63,3276
17/09/2019,746437,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",24K (SECOND FLOOR) FLORENCE TERRACE,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),9,0,0
,,,,,,,,,,,,2,OFFICE(S),1,1200,1200
17/09/2019,746451,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -","UNIT 6 THE MILL, (THE MALTINGS) MILL LANE",BRAY,CO. WICKLOW,,,0,0,OFFICE(S),110,120,13200
17/09/2019,1141536,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",48(1) (FRONT) MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),34.1,90,3069
17/09/2019,2164403,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",4F/UNIT 4 (0) KILCOOLE,KILCOOLE,CO. WICKLOW,,,0,0,OFFICE(S),41.66,80,3332.8
17/09/2019,2164404,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",4F/UNIT 4 (1) KILCOOLE,KILCOOLE,CO. WICKLOW,,,0,1,OFFICE(S),27.05,56,1514.8
17/09/2019,2164421,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OFFICE PARK), -",LOCAL NO/MAP REF: 7A/A/B UNIT C,GLENCORMICK S,KILMACANOGUE,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),206.7,80,16536
,,,,,,,,,,,,1,OFFICE(S),227.6,80,18208
17/09/2019,2193884,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",1HB (FL 2 REAR) CORPORATION MURRAGH,WICKLOW,CO. WICKLOW,,,3,2,OFFICE(S),372.91,90,33561.9
,,,,,,,,,,,,0,CAR SPACES (NO. OF),3,150,450
17/09/2019,746423,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -","Unit 3A, 3B First Floor",Market Court,Main Street,Bray,Co. Wicklow,0,1,OFFICE(S),156.96,90,14126.4
,,,,,,,,,,,,1,ALLOWANCE,-1,2825.28,-2825.28
17/09/2019,746448,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",UNIT 5 THE MILL (THE MALTINGS) MILL LANE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),108.37,120,13004.4
,,,,,,,,,,,,MEZZ,OFFICE(S),39.6,84,3326.4
17/09/2019,1141371,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",51/UNIT 3 BLESSINGTON,BLESSINGTON,CO. WICKLOW,,,0,MEZZ,OFFICE(S),9,56,504
,,,,,,,,,,,,0,OFFICE(S),22.6,80,1808
17/09/2019,2164400,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",4F/UNIT 2 (1) KILCOOLE,KILCOOLE,CO. WICKLOW,,,0,1,OFFICE(S),75.55,56,4230.8
17/09/2019,2164425,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OFFICE PARK), -",LOCAL NO/MAP REF: 7A/A/B UNIT F,GLENCORMICK S,KILMACANOGUE,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),206.7,80,16536
,,,,,,,,,,,,1,OFFICE(S),227.6,80,18208
17/09/2019,2164582,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",19C (1) MAIN STREET UPPER,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),18.42,70,1289.4
,,,,,,,,,,,,1,OFFICE(S),1,332.35,332.35
17/09/2019,2193880,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -","3D (FL 1, REAR) WENTWORTH PLACE",WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),71.02,63,4474.26
17/09/2019,2188700,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -","27A (FLR 0, 1) STRAND ROAD",BRAY,CO. WICKLOW,,,0,0,OFFICE(S),63.31,120,7597.2
,,,,,,,,,,,,-1,KITCHEN,13.49,84,1133.16
,,,,,,,,,,,,1,OFFICE(S),51.24,84,4304.16
,,,,,,,,,,,,0,STORE,22.33,120,2679.6
17/09/2019,656743,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -","2 MILTON TERRACE (FLOORS 0,-1,1) ST YVES SEAPOINT ROAD",BRAY,CO. WICKLOW,,,0,0,OFFICE(S),32,120,3840
,,,,,,,,,,,,-1,OFFICE(S),34,84,2856
,,,,,,,,,,,,-1,CANTEEN,13,84,1092
,,,,,,,,,,,,-1,STORE,9,84,756
,,,,,,,,,,,,1,OFFICE(S),21,84,1764
17/09/2019,2207852,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",1A/1 BRAY BUSINESS PARK,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),511.2,66,33739.2
17/09/2019,746428,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",24C (GROUND FLOOR) FLORENCE TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),10.08,120,1209.6
17/09/2019,746445,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",UNIT 3 THE MILL (THE MALTINGS) MILL LANE,BRAY,CO. WICKLOW,,,0,0,SURGERY,40.1,120,4812
17/09/2019,1141374,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",51/UNIT 5 BLESSINGTON,BLESSINGTON,CO. WICKLOW,,,0,0,OFFICE(S),19.77,80,1581.6
,,,,,,,,,,,,MEZZ,OFFICE(S),7.2,56,403.2
17/09/2019,2164397,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",4F/UNIT 1 KILCOOLE,KILCOOLE,CO. WICKLOW,,,0,0,OFFICE(S),76.56,80,6124.8
17/09/2019,2194577,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",FLR 3/1 (RIGHT BK A) (AVOCA RIVER HOUSE) FERRYBANK,ARKLOW,CO. WICKLOW,,,7,3,OFFICE(S),116.6,90,10494
,,,,,,,,,,,,0,CAR SPACES (NO. OF),7,150,1050
17/09/2019,2176378,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -","52 ROSEBANK, UNIT 2 (FLOOR -1 RHS) HERBERT TERRACE",BRAY,CO. WICKLOW,,,0,-1,OFFICE(S),42.75,84,3591
,,,,,,,,,,,,0,CAR SPACES (NO. OF),2,150,300
17/09/2019,2161270,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",45/UNIT 1 (0) DUBLIN ROAD,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),82.79,72,5960.88
17/09/2019,2207479,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1A  CHURCH ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,1,OFFICE(S),104.3,90,9387
,,,,,,,,,,,,1,ALLOWANCE,-1,2346.75,-2346.75
17/09/2019,2207581,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 29,DELGANY,RATHDOWN 2 CO. WICKLOW,,,0,-1,OFFICE(S),53.73,56,3008.88
,,,,,,,,,,,,0,OFFICE(S),50.86,80,4068.8
,,,,,,,,,,,,1,OFFICE(S),31.02,56,1737.12
17/09/2019,630559,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",6A FLR 0 & PT FLR 1 TRAFALGAR ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,0,OFFICE(S),53.39,120,6406.8
,,,,,,,,,,,,1,OFFICE(S),2.9,84,243.6
19/12/2022,746188,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",5A LA TOUCHE ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,0,OFFICE(S),139.6,120,16752
,,,,,,,,,,,,1,OFFICE(S),94.42,84,7931.28
17/09/2019,746424,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",52BC/UNIT 4 (FIRST FLOOR) MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),79.08,90,7117.2
17/09/2019,1141370,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",51/UNIT 2 BLESSINGTON,BLESSINGTON,CO. WICKLOW,,,0,MEZZ,OFFICE(S),9,56,504
,,,,,,,,,,,,0,OFFICE(S),22.6,80,1808
17/09/2019,1141538,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",48(2 REAR) MAIN STREET,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),41.3,63,2601.9
17/09/2019,2164399,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",4F/UNIT 2 (0) KILCOOLE,KILCOOLE,CO. WICKLOW,,,0,0,OFFICE(S),41.66,80,3332.8
17/09/2019,2164401,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",4F/UNIT 3 (0) KILCOOLE,KILCOOLE,CO. WICKLOW,,,0,0,OFFICE(S),37.2,80,2976
17/09/2019,2164569,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",18/A (1) MAIN STREET UPPER,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),26.31,70,1841.7
,,,,,,,,,,,,1,OFFICE(S),1,460.42,460.42
17/09/2019,655129,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",4 CARLETON VILLAS,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),64.76,120,7771.2
,,,,,,,,,,,,0,KITCHEN,13.41,120,1609.2
,,,,,,,,,,,,1,OFFICE(S),62.89,84,5282.76
,,,,,,,,,,,,2,OFFICE(S),13.94,59,822.46
17/09/2019,2193883,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",40B (FL 1) MAIN STREET,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),45.36,70,3175.2
17/09/2019,2193879,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",3C (FL 1 FRONT) WENTWORTH PLACE,WICKLOW,CO. WICKLOW,,,0,1,OFFICE(S),56.56,63,3563.28
17/09/2019,746429,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), BEAUTY SALON / MASSAGE",24D (FIRST FLOOR) FLORENCE TERRACE,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),31,90,2790
17/09/2019,746438,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",24L (SECOND FLOOR) FLORENCE TERRACE,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),9,0,0
,,,,,,,,,,,,2,OFFICE(S),1,1200,1200
17/09/2019,2164149,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), WAREHOUSE",73.74A (0) DUNLAVIN UPPER,DUNLAVIN,CO. WICKLOW,,,0,0,OFFICE(S),277.7,60,16662
,,,,,,,,,,,,0,WAREHOUSE,409.5,32,13104
17/09/2019,2164424,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OFFICE PARK), -",LOCAL NO/MAP REF: 7A/A/B UNIT E (1),GLENCORMICK S,KILMACANOGUE,RATHDOWN 2 CO. WICKLOW,,0,1,OFFICE(S),232.22,80,18577.6
17/09/2019,2164426,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 1C (0),KINDLESTOWN LR GT,GREYSTONES,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),16.32,120,1958.4
17/09/2019,2164419,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OFFICE PARK), -",LOCAL NO/MAP REF: 7A/A/B UNIT A,GLENCORMICK S,KILMACANOGUE,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),213.86,80,17108.8
,,,,,,,,,,,,1,OFFICE(S),234.11,80,18728.8
17/09/2019,2161248,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",21 (1) STRAND ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),31.78,84,2669.52
17/09/2019,2214428,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",LOCAL NO/MAP REF: 10D/3,ASHFORD,GLENEALY,RATHDRUM CO. WICKLOW,,0,1,OFFICE(S),53.23,60,3193.8
17/09/2019,635266,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",64BC MAIN STREET,KILCOOLE,CO. WICKLOW,,,0,0,STORE,47.7,80,3816
,,,,,,,,,,,,0,OFFICE(S),27.98,80,2238.4
17/09/2019,642111,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 2B/B,BALLYROGAN UPPER,ENNEREILLY,RATHDRUM CO. WICKLOW,,0,1,OFFICE(S),110.35,35,3862.25
17/09/2019,643466,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 13/E3,KILMAGIG LOWER,BALLYARTHUR,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),34.16,60,2049.6
17/09/2019,648296,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",LOCAL NO/MAP REF: 31 1,TINAHELY,SHILLELAGH CO. WICKLOW,,,0,0,OFFICE(S),252.87,60,15172.2
17/09/2019,650550,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 24,BALLARD,SHILLELAGH,SHILLELAGH CO. WICKLOW,,0,0,OFFICE(S),12.32,60,739.2
,,,,,,,,,,,,0,OFFICE(S),1,460.8,460.8
17/09/2019,651372,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",18/AD MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),38.07,70,2664.9
17/09/2019,651686,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",IN 67 MAIN STREET LOWER,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),16.16,70,1131.2
,,,,,,,,,,,,1,OFFICE(S),1,282.75,282.75
17/09/2019,651697,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",IN3 MAIN STREET UPPER,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),80,70,5600
17/09/2019,651704,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",IN41 MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),173.72,70,12160.4
,,,,,,,,,,,,1,ALLOWANCE,-1,2432.08,-2432.08
17/09/2019,651765,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",30E MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),22,70,1540
,,,,,,,,,,,,1,OFFICE(S),1,385,385
17/09/2019,653533,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -","59 (FLR 0,1) FERRYBANK",ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),39.44,90,3549.6
,,,,,,,,,,,,1 rtn,OFFICE(S),9.18,63,578.34
,,,,,,,,,,,,1,OFFICE(S),42.55,63,2680.65
17/09/2019,653619,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (2ND GENERATION), -",5J FERRYBANK,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),152.51,80,12200.8
,,,,,,,,,,,,1,OFFICE(S),168.39,80,13471.2
,,,,,,,,,,,,2,OFFICE(S),176.95,80,14156
,,,,,,,,,,,,0,CAR SPACES (NO. OF),50,150,7500
14/01/2021,5005607,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",FIRST FLOOR,1 CASTLE STREET,BRAY,CO WICKLOW,,0,1,OFFICE(S),87.49,90,7874.1
